Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2025,58,SN,1163923,DG 93 A CL 39 - 61,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,53,,CABLE CU ENCAUCHETADO 3X14 CU,"Tablas 1 al 392_2025.pdf, pagina 58",5200464
2025,59,SN,1165208,Sendero Cr 31 Cl 107 A - 83 Int 101,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",1,,BRAZO 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 59",5200232
2025,59,SN,1165208,Sendero Cr 31 Cl 107 A - 83 Int 101,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 59",5200270
2025,60,SN,1165725,Escalas Cl 58 A Cr 8 - 46,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,1,BRAZO 1 - 0.4M - 0°,"Tablas 1 al 392_2025.pdf, pagina 60",5200231
2025,60,SN,1165725,Escalas Cl 58 A Cr 8 - 46,5200270,LUM LED (KORELED) 44W,1,1,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 60",5200270
2025,60,SN,1165725,Escalas Cl 58 A Cr 8 - 46,5200419,UCAP POSTE PRFV 8M (ENTERRAR),,1,POSTE PRFV 8M ENTERRAR,"Tablas 1 al 392_2025.pdf, pagina 60",5200419
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",3,,BRAZO 1 - 0.4M - 0°,"Tablas 1 al 392_2025.pdf, pagina 61",5200231
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",2,,BRAZO 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 61",5200232
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",1,,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 61",5200235
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200269,LUM LED 110-1 (RALED II),1,,LUM LED 110-1 RALED II,"Tablas 1 al 392_2025.pdf, pagina 61",5200269
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200270,LUM LED (KORELED) 44W,4,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 61",5200270
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200293,LUM LED (OMEGA II) 64.5W,1,,LUM LED OMEGA II 64.5W,"Tablas 1 al 392_2025.pdf, pagina 61",5200293
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200419,UCAP POSTE PRFV 8M (ENTERRAR),4,,POSTE PRFV 8M ENTERRAR,"Tablas 1 al 392_2025.pdf, pagina 61",5200419
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200501,UCAP CAJA CONCRETO 50X50 CM,4,,CAJA CONCRETO 50X50 CM,"Tablas 1 al 392_2025.pdf, pagina 61",5200501
2025,61,SS,1169795,Parque La playita ajuste de iluminación CR 81 A CL 3D,5200503,"UCAP CANAL ANDEN TUBERIA PVC 2""",56,,CANAL ANDEN TUBERIA PVC 2,"Tablas 1 al 392_2025.pdf, pagina 61",5200503
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5010132,LUM. LED 40W SUPERFICIES (ACROLED ASIM. 5K),1,,LUM LED 40W SUPERFICIES ACROLED ASIM 5K,"Tablas 1 al 392_2025.pdf, pagina 62",5010132
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",7,1,BRAZO 1 - 0.4M - 0°,"Tablas 1 al 392_2025.pdf, pagina 62",5200231
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",2,9,BRAZO 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 62",5200232
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200270,LUM LED (KORELED) 44W,9,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 62",5200270
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",37,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tablas 1 al 392_2025.pdf, pagina 62",5200407
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200419,UCAP POSTE PRFV 8M (ENTERRAR),3,2,POSTE PRFV 8M ENTERRAR,"Tablas 1 al 392_2025.pdf, pagina 62",5200419
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,68,,CABLE CU ENCAUCHETADO 3X14 CU,"Tablas 1 al 392_2025.pdf, pagina 62",5200464
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200201,UCAP BOMBILLO 70W,,30,BOMBILLO 70W,"Tablas 1 al 392_2025.pdf, pagina 62",5200201
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200217,UCAP LUMINARIA 70W,,10,LUMINARIA 70W,"Tablas 1 al 392_2025.pdf, pagina 62",5200217
2025,62,SS,991242,SENDERO PEATONAL CR 70 POR CL 58,5200410,UCAP DUPLEX CU 14 AWG-THW 300V,,68,DUPLEX CU 14 AWG-THW 300V,"Tablas 1 al 392_2025.pdf, pagina 62",5200410
2025,63,SS,1051501,Vía M4 Cr 62 Cl 92,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",3,,BRAZO 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 63",5200232
2025,63,SS,1051501,Vía M4 Cr 62 Cl 92,5200270,LUM LED (KORELED) 44W,3,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 63",5200270
2025,63,SS,1051501,Vía M4 Cr 62 Cl 92,5200407,"UCAP TRIPLEX AL 2X4+1X4 XLP,AEREO",88,,TRIPLEX AL 2X4+1X4 XLP AEREO,"Tablas 1 al 392_2025.pdf, pagina 63",5200407
2025,64,SS,1161267,SENDERO PEATONAL CL 34 CR 46 - 20,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",3,,BRAZO 1 - 0.4M - 0°,"Tablas 1 al 392_2025.pdf, pagina 64",5200231
2025,64,SS,1161267,SENDERO PEATONAL CL 34 CR 46 - 20,5200270,LUM LED (KORELED) 44W,3,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 64",5200270
2025,64,SS,1161267,SENDERO PEATONAL CL 34 CR 46 - 20,5200419,UCAP POSTE PRFV 8M (ENTERRAR),2,,POSTE PRFV 8M ENTERRAR,"Tablas 1 al 392_2025.pdf, pagina 64",5200419
2025,64,SS,1161267,SENDERO PEATONAL CL 34 CR 46 - 20,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,25,,CABLE CU ENCAUCHETADO 3X14 CU,"Tablas 1 al 392_2025.pdf, pagina 64",5200464
2025,65,SS,1169469,SMAP-0177-25 Cl 80 Cr 67 - 61,5200208,UCAP LUMINARIA LED 140W HORIZONTAL,1,1,LUMINARIA LED 140W HORIZONTAL,"Tablas 1 al 392_2025.pdf, pagina 65",5200208
2025,65,SS,1169469,SMAP-0177-25 Cl 80 Cr 67 - 61,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",1,1,BRAZO 1 1/2 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 65",5200235
2025,65,SS,1169469,SMAP-0177-25 Cl 80 Cr 67 - 61,5200308,UCAP POSTE CONCRETO OCTOG 8M,1,,POSTE CONCRETO OCTOG 8M,"Tablas 1 al 392_2025.pdf, pagina 65",5200308
2025,66,SS,1169473,SMAP-0178-25 Cl 96 Cr 73,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tablas 1 al 392_2025.pdf, pagina 66",5200231
2025,66,SS,1169473,SMAP-0178-25 Cl 96 Cr 73,5200270,LUM LED (KORELED) 44W,1,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 66",5200270
2025,66,SS,1169473,SMAP-0178-25 Cl 96 Cr 73,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,12,,CABLE CU ENCAUCHETADO 3X14 CU,"Tablas 1 al 392_2025.pdf, pagina 66",5200464
2025,67,SS,1169547,SMAP-0179-25 CL 81 CR 67 B,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",1,,BRAZO 1 - 0.4M - 0°,"Tablas 1 al 392_2025.pdf, pagina 67",5200231
2025,67,SS,1169547,SMAP-0179-25 CL 81 CR 67 B,5200232,"UCAP BRAZO 1"" - 1.5M - 52°/0°",2,,BRAZO 1 - 1.5M - 52°/0°,"Tablas 1 al 392_2025.pdf, pagina 67",5200232
2025,67,SS,1169547,SMAP-0179-25 CL 81 CR 67 B,5200270,LUM LED (KORELED) 44W,3,,LUM LED KORELED 44W,"Tablas 1 al 392_2025.pdf, pagina 67",5200270
2025,67,SS,1169547,SMAP-0179-25 CL 81 CR 67 B,5200464,UCAP CABLE CU ENCAUCHETADO 3X14 CU,7,,CABLE CU ENCAUCHETADO 3X14 CU,"Tablas 1 al 392_2025.pdf, pagina 67",5200464
