Anio,Pagina,Tipo,SS/SN,Proyecto,codigo UCAP,Descripcion UCAP,Colocar,Quitar,Descripcion Normalizada,Fuente,Clave Consolidacion
2026,143,SS,1361741,SMAP-CIV-202-26-Sendero Cr 76 Cl 104 D,5200217,UCAP LUMINARIA 70W,,2,LUMINARIA 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 143",5200217
2026,143,SS,1361741,SMAP-CIV-202-26-Sendero Cr 76 Cl 104 D,5200201,UCAP BOMBILLO 70W,,2,BOMBILLO 70W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 143",5200201
2026,144,SS,1361749,SMAP-CIV-203-26-Parqueadero Cr 65 Cl 97 - 57,5200241,UCAP BRAZO CURVO 3000M,3,,BRAZO CURVO 3000M,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 144",5200241
2026,144,SS,1361749,SMAP-CIV-203-26-Parqueadero Cr 65 Cl 97 - 57,5000265,LUM LED 130W ASIMÉTRICA 4000K HORIZONTAL,3,,LUM LED 130W ASIMETRICA 4000K HORIZONTAL,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 144",5000265
2026,144,SS,1361749,SMAP-CIV-203-26-Parqueadero Cr 65 Cl 97 - 57,5200219,UCAP LUMINARIA 250W,,3,LUMINARIA 250W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 144",5200219
2026,144,SS,1361749,SMAP-CIV-203-26-Parqueadero Cr 65 Cl 97 - 57,5200203,UCAP BOMBILLO 250W,,3,BOMBILLO 250W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 144",5200203
2026,144,SS,1361749,SMAP-CIV-203-26-Parqueadero Cr 65 Cl 97 - 57,5200235,"UCAP BRAZO 1 1/2"" - 1.5M - 52°/0°",,3,BRAZO 1 1/2 - 1.5M - 52°/0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 144",5200235
2026,145,SS,1361972,Vía y Sendero Cl 90 Cr 52 - 1,5200231,"UCAP BRAZO 1"" - 0.4M - 0°",3,,BRAZO 1 - 0.4M - 0°,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 145",5200231
2026,145,SS,1361972,Vía y Sendero Cl 90 Cr 52 - 1,5200241,UCAP BRAZO CURVO 3000M,1,1,BRAZO CURVO 3000M,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 145",5200241
2026,145,SS,1361972,Vía y Sendero Cl 90 Cr 52 - 1,5200271,LUM LED (MAXIMO M) 59.16W,1,1,LUM LED MAXIMO M 59.16W,"UCAP EN VALIDACION DE APROBACION_2026.pdf, pagina 145",5200271
